matcher,P_bin,R_bin,Res_bin,Cal_bin,P_bin_pred,R_bin_pred,Res_bin_pred,Cal_bin_pred
103,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
104,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
105,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
106,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
112,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
113,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
114,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
115,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
116,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
117,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
122,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
123,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
124,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
125,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
13,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
132,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
133,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
134,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
135,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
136,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
137,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
142,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
