matcher,P,R,Res,Cal,P_bin,R_bin,Res_bin,Cal_bin,"('P_bin', 'R_bin')","('P_bin', 'Res_bin')","('P_bin', 'Cal_bin')","('R_bin', 'Res_bin')","('R_bin', 'Cal_bin')","('Res_bin', 'Cal_bin')","('P_bin', 'R_bin', 'Res_bin')","('P_bin', 'R_bin', 'Cal_bin')","('P_bin', 'Res_bin', 'Cal_bin')","('R_bin', 'Res_bin', 'Cal_bin')","('P_bin', 'R_bin', 'Res_bin', 'Cal_bin')"
103,0.5,0.24615384615384617,0.5737704918032787,0.44062500000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0000,0.5161290322580645,0.24615384615384617,0.6,0.42258064516129024,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0001,0.4838709677419355,0.23076923076923078,1.0,0.4580645161290322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0002,0.5,0.23076923076923078,1.0,0.44666666666666677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0003,0.5172413793103449,0.23076923076923078,1.0,0.4275862068965518,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0004,0.5357142857142857,0.23076923076923078,1.0,0.40714285714285725,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0005,0.5185185185185185,0.2153846153846154,1.0,0.4222222222222223,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0006,0.5384615384615384,0.2153846153846154,1.0,0.40000000000000013,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0007,0.56,0.2153846153846154,1.0,0.3759999999999999,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0008,0.5416666666666666,0.2,1.0,0.3916666666666666,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0009,0.5217391304347826,0.18461538461538463,1.0,0.4086956521739131,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0010,0.5,0.16923076923076924,1.0,0.42727272727272736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0011,0.47619047619047616,0.15384615384615385,1.0,0.4476190476190477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0012,0.45,0.13846153846153847,1.0,0.47000000000000014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0013,0.47368421052631576,0.13846153846153847,1.0,0.44210526315789483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0014,0.4444444444444444,0.12307692307692308,1.0,0.46666666666666656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0015,0.47058823529411764,0.12307692307692308,1.0,0.4882352941176471,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0016,0.4375,0.1076923076923077,1.0,0.51875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0017,0.4666666666666667,0.1076923076923077,1.0,0.4866666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0018,0.5,0.1076923076923077,1.0,0.45000000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0019,0.46153846153846156,0.09230769230769231,1.0,0.48461538461538467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0020,0.5,0.09230769230769231,1.0,0.44166666666666676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0021,0.5454545454545454,0.09230769230769231,1.0,0.390909090909091,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0022,0.5,0.07692307692307693,1.0,0.43000000000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0023,0.4444444444444444,0.06153846153846154,1.0,0.47777777777777786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0024,0.375,0.046153846153846156,1.0,0.5375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0025,0.42857142857142855,0.046153846153846156,1.0,0.4714285714285715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0026,0.5,0.046153846153846156,1.0,0.3833333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_0027,0.6,0.046153846153846156,1.0,0.26,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
104,0.2375,0.2923076923076923,1.0,0.6824999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0000,0.22857142857142856,0.24615384615384617,1.0,0.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0001,0.21739130434782608,0.23076923076923078,1.0,0.6898550724637681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0002,0.21739130434782608,0.23076923076923078,1.0,0.6898550724637682,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0003,0.21739130434782608,0.23076923076923078,1.0,0.6898550724637681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
